manus42ppi/socialflow-pro	team	clerk	0	2026-06-25	main	playwright.config.js,
jmeno1011/budget-plan	team	firebase	0	2026-07-29	main	cypress.config.ts,
zonito/zonito.com	team	auth0	5	2026-07-27	main	cypress.json,
RyanLisse/rra-v2	team	kinde	0	2025-12-15	main	playwright.config.ts,
Reterics/storager	team	firebase	1	2026-03-04	main	playwright.config.ts,
mia-cx/maal	team	workos	0	2026-07-13	main	playwright.config.ts,
emiliorivera747/supabase-authentication-nextjs-starter	team	supabase	1	2025-12-16	main	cypress.config.ts,
nicoard12/Ticketing-system-front	team	auth0	0	2026-04-26	main	cypress.config.ts,
chirag127/omnijournal	team	firebase	2	2026-08-14	main	apps/web/playwright.config.ts,
TomBelfast/finanse-saas	team	clerk	0	2026-02-18	main	apps/web-app/playwright.config.ts,
onepercentio/one-ui	team	firebase	2	2026-07-25	development	cypress.config.ts,
RiploData/riplo-evals-battleground	team	workos	0	2026-06-25	master	playwright.config.ts,
victorrmark/cxors	team	supabase	0	2026-05-21	main	cypress.config.ts,
Hponky/real-state-appraisal-frontend	team	supabase	0	2025-06-24	main	cypress.config.mjs,
kelvinhe04/healthora	team	clerk	1	2026-08-11	main	frontend/playwright.config.ts,
zekenewsom/highwater	team	auth0	0	2025-07-28	new	packages/web/playwright.config.ts,
marte113/game-mate	team	supabase	0	2025-12-17	main	cypress.config.ts,
neu-cs4530/spring26-project-group-102	team	auth0	1	2026-04-10	main	client/playwright.config.mjs,
hakuramasam/base-ai-deployment	team	supabase	0	2026-04-08	main	playwright.config.ts,
progress8080/next-fitness-dojo	team	kinde	1	2025-06-08	main	playwright.config.js,
Dlcrz/budgetzero-deploy	team	firebase	0	2025-04-01	main	cypress.config.js,
DeepakOla/oneform	team	firebase	1	2026-03-12	main	playwright.config.ts,
frontend-from-0/group181223-files	team	auth0	4	2025-08-11	main	Lesson47/recipe-app-nextjs/playwright.config.ts,Lesson48/recipe-app-nextjs/playwright.config.ts,
lissakariuki/Event-Planning-System	team	clerk+supabase	0	2025-04-09	main	cypress.config.js,
timfewi/freelancerino	team	clerk	1	2026-01-25	main	playwright.config.ts,
descope-sample-apps/peek-a-box-b2c-sample-app	vendor	descope	7	2026-07-29	main	cypress.config.ts,
narze/typeland	team	firebase	4	2026-07-20	master	cypress.json,
zainsaeeed/rankerx	team	workos	1	2026-04-25	main	apps/web/playwright.config.ts,
samayhuf-star/Adiology-23Dec-New	team	clerk+supabase	0	2026-01-18	main	playwright.lambdatest.config.ts,
knirski/czerstwapp	team	supabase	0	2026-02-01	master	playwright.config.ts,
TravisJ33304/lithos	team	supabase	0	2026-06-02	main	client/playwright.config.ts,
massimilianolapuma/aquafin	team	clerk	0	2026-06-04	main	frontend/playwright.config.ts,
parkk27/spark-daily-digest	team	supabase	0	2026-08-10	main	playwright.config.ts,
cedar-admin/cedar	team	workos	0	2026-03-26	main	apps/web/playwright.config.ts,
1-fredrikstad/1sang	team	supabase	0	2026-08-10	main	frontend/cypress.config.ts,
PackmindHub/packmind	team	workos	307	2026-08-15	main	apps/e2e-tests/playwright.config.ts,
ADLenehan/battery	team	workos	0	2026-01-13	main	apps/dashboard/playwright.config.ts,
mobile-applications-2526/mobile-apps-team-17	team	supabase	1	2026-01-08	main	the-box/cypress.config.ts,
zenobia-pay/alphabook	team	workos	0	2026-04-24	codex/alphabook-bootstrap	apps/frontend/playwright.config.ts,
DilanBernal/ticket_tracker	team	supabase	0	2026-02-26	master	cypress.config.ts,
enriquegiraldo/ProyectoMemoria	team	auth0+supabase	1	2025-10-07	seccionDePruebas	playwright.config.ts,
FairLendInc/flpilot	team	workos	0	2026-04-28	main	playwright.config.ts,
Mikeolab/softdeploy	team	supabase	0	2025-12-20	main	client/cypress.config.ts,server/artifacts/cypress.config.js,server/cypress.config.js,
khoiphamQC/fintrust-bank-testing	team	auth0	0	2026-08-07	main	cypress.config.ts,
josh803316/lll-experience	team	clerk	0	2026-08-15	main	playwright.config.ts,
Zach-Reising/SeniorDesign	team	supabase	0	2026-04-11	main	src/frontend/crowdsourcelitter-app/cypress.config.ts,
Follio-Inc/follio-application	team	clerk	0	2026-08-09	main	_admin-panel/modules/developer/live-qa/playwright.config.ts,
Sustainable-ESG/Yancoal-Master-Data-Tool	team	clerk	0	2026-03-16	main	playwright.config.ts,
Aztherion/95Forward-PoC	team	auth0	0	2026-06-24	main	apps/web/playwright.config.ts,
MALOK142/cypress-realworld-app	team	auth0	0	2026-04-30	main	cypress.config.ts,
myhuemungusD/SkateHubba-play	team	firebase	1	2026-08-15	main	playwright.config.ts,
kil-dev/kil.dev	team	workos	1	2026-08-11	main	playwright.config.ts,
Organisasjonskollegiet/voting-frontend	team	auth0	2	2025-02-27	master	cypress.json,
bndF1/wavely	team	firebase	3	2026-03-23	main	e2e/playwright.config.ts,
anstosa/ferry.fyi	team	auth0	13	2026-08-14	production	playwright.config.ts,playwright.ssr.config.ts,
IDpeace9527/nextjsbase-i18n	team	supabase	27	2025-07-03	main	playwright.config.ts,
U-ARUN07/civix-portal	team	clerk	0	2025-11-27	main	cypress.config.ts,
whitej031788/jamie-nx	team	supabase	0	2025-12-05	main	docs/generated/packages/cypress/executors/cypress.json,graph/client-e2e/cypress.config.ts,nx-dev/nx-dev-e2e/playwright.config.ts,
steveg1983/wealthtracker-pro	team	clerk	0	2026-08-16	main	playwright.config.ts,
SIO-Delhi/sio-delhi.github.io	team	clerk	1	2026-06-14	main	playwright.config.ts,
isaacslima/guedesloc	team	firebase	0	2026-08-01	main	playwright.config.ts,
blacktails2/BraceBracket	team	firebase	13	2026-08-02	develop	playwright.config.ts,
pinecone-studio/flowfile	team	clerk	0	2026-05-18	main	apps/ebms-e2e/cypress.config.ts,
moonklabs/sprintable	team	firebase	14	2026-08-16	main	apps/web/playwright.config.ts,
